,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
476,Zonotrichia capensis,female,0,Locumba,740,l,-17.56136167,-70.67236167,14.5
477,Zonotrichia capensis,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,15.3
478,Zonotrichia capensis,male,0,Locumba,740,l,-17.56136167,-70.67236167,16.4
479,Troglodytes aedon,male,0,Locumba,740,l,-17.56136167,-70.67236167,14.2
480,Troglodytes aedon,male,0,Locumba,740,l,-17.56136167,-70.67236167,15.8
481,Troglodytes aedon,male,0,Chuquibamba,3200,h,-15.81433333,-72.66711667,17.8
483,Zonotrichia capensis,male,0,Locumba,740,l,-17.56136167,-70.67236167,15.7
484,Troglodytes aedon,male,0,Locumba,740,l,-17.56136167,-70.67236167,16.8
486,Troglodytes aedon,male,0,Locumba,740,l,-17.56136167,-70.67236167,13.9
487,Troglodytes aedon,male,0,Huaylas,3350,h,-8.83621,-77.9258,17.2
488,Troglodytes aedon,male,0,Yanah2,3380,h,-13.24933333,-72.16916667,18.2
490,Troglodytes aedon,female,0,Yanah2,3380,h,-13.24933333,-72.16916667,15.3
491,Zonotrichia capensis,male,0,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande, Tullanya,",1476,m,-6.1019,-78.34316667,16
495,Troglodytes aedon,male,0,Nuevo Mundo,1503,m,-5.213066667,-78.6435,17.1
496,Zonotrichia capensis,male,0,R’o Pachachaca,1727,m,-13.66295,-72.93666667,15.4
497,Zonotrichia capensis,male,0,R’o Pachachaca,1727,m,-13.66295,-72.93666667,14.7
498,Zonotrichia capensis,male,0,,1727,m,-13.66295,-72.93666667,14.6
499,Zonotrichia capensis,male,0,,2170,m,-5.84,-79.50533333,14.3
501,Zonotrichia capensis,female,0,,2175,m,-5.84,-79.50533333,15.8
504,Troglodytes aedon,male,0,Las Pinas,2307,m,-6.05125,-78.23355,15.1
506,Zonotrichia capensis,male,0,R’o Antabamba,2338,m,-14.0521,-73.18916667,15.7
507,Zonotrichia capensis,male,0,ca. Circa,2375,m,-13.89498333,-72.90898333,15.3
517,Zonotrichia capensis,female,0,Bosque Cachil,2500,m,-7.398033333,-78.77826667,16.81
518,Zonotrichia capensis,female,0,Bosque Cachil,2500,m,-7.398033333,-78.77826667,15.9
519,Zonotrichia capensis,female,0,Chontali,2505,m,-5.583216667,-79.15983333,17
520,Zonotrichia capensis,female,0,Chontali,2520,m,-5.58235,-79.15975,15
523,Zonotrichia capensis,female,0,Chontali,2520,m,-5.58235,-79.15975,15.8
524,Zonotrichia capensis,male,0,Chontali,2520,m,-5.58235,-79.15975,14
525,Zonotrichia capensis,female,0,Chontali,2520,m,-5.58235,-79.15975,14.9
526,Zonotrichia capensis,male,0,Chontali,2520,m,-5.58235,-79.15975,15.9
527,Troglodytes aedon,male,0,Chontali,2520,m,-5.58235,-79.15975,15.4
528,Zonotrichia capensis,male,0,Chontali,2521,m,-5.585183333,-79.15823333,16.1
529,Zonotrichia capensis,male,0,Chontali,2530,m,-5.582083333,-79.16013333,15.4
530,Zonotrichia capensis,male,0,Chontali,2530,m,-5.582083333,-79.16013333,17.5
531,Zonotrichia capensis,male,0,Chontali,2532,m,-5.582233333,-79.16101667,16.2
533,Zonotrichia capensis,male,0,Tampumayu,2671,m,-14.17391667,-73.32313889,16.1
534,Zonotrichia capensis,male,0,Tampumayu,2671,m,-14.17391667,-73.32313889,16
536,Zonotrichia capensis,female,0,Carpish Tunel,2792,m,-9.726716667,-76.1065,17.7
537,Zonotrichia capensis,female,0,Carpish Tunel,2798,m,-9.7275,-76.10675,17.3
538,Troglodytes aedon,female,0,Macate,2972,m,-8.75478,-78.04845,14.1
539,Zonotrichia capensis,female,0,Macate,2972,m,-8.75478,-78.04845,14.9
540,Zonotrichia capensis,female,0,Macate,2972,m,-8.75478,-78.04845,15.4
541,Troglodytes aedon,male,0,Macate,2972,m,-8.75478,-78.04845,15.8
542,Troglodytes aedon,female,0,Macate,2972,m,-8.75478,-78.04845,16.7
543,Troglodytes aedon,male,0,Macate,3740,h,-8.74247,-78.0407,15
545,Zonotrichia capensis,female,0,Macate,2972,m,-8.75478,-78.04845,16.1
546,Zonotrichia capensis,female,0,Macate,2972,m,-8.75478,-78.04845,18.2
549,Zonotrichia capensis,female,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,18.2
550,Zonotrichia capensis,female,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,17.5
555,Zonotrichia capensis,male,0,Huac1,3120,h,-13.62533333,-71.718,16.4
556,Zonotrichia capensis,female,0,Puente Caraybamba,3120,h,-14.61375,-73.28245,14.2
557,Zonotrichia capensis,male,0,Puente Caraybamba,3120,h,-14.61375,-73.28245,16.9
